entity_relevance,entity_sentiment,entity_ticker,harvested_at,story_id
8.0,28.0,MCD,2017-12-06T02:21:52.318Z,5a27541da656f258846b0f9e
8.0,28.0,MCD,2017-12-06T02:21:52.318Z,5a27541da656f258846b0f9e
8.0,28.0,MCD,2017-12-06T02:21:52.318Z,5a27541da656f258846b0f9e
8.0,28.0,MCD,2017-12-06T02:21:52.318Z,5a27541da656f258846b0f9e
100.0,0.6,SBUX,2017-12-06T02:13:58.093Z,5a27525aa656f213b86b0f5a
90.0,0.0,DRI,2017-12-06T02:08:29.455Z,5a275110a656f261ee6b0f6e
90.0,0.0,DRI,2017-12-06T02:08:29.455Z,5a275110a656f261ee6b0f6e
90.0,0.0,DRI,2017-12-06T02:08:29.455Z,5a275110a656f261ee6b0f6e
90.0,74.9,SBUX,2017-12-06T02:05:58.130Z,5a27507ca656f24d066b0f58
90.0,74.9,SBUX,2017-12-06T02:05:58.130Z,5a27507ca656f24d066b0f58
90.0,74.9,SBUX,2017-12-06T02:05:58.130Z,5a27507ca656f24d066b0f58
100.0,-23.5,SBUX,2017-12-06T02:05:40.083Z,5a27505da656f2482d6b0fc6
100.0,-23.5,SBUX,2017-12-06T02:05:40.083Z,5a27505da656f2482d6b0fc6
100.0,-23.5,SBUX,2017-12-06T02:05:40.083Z,5a27505da656f2482d6b0fc6
100.0,0.0,SBUX,2017-12-06T02:05:28.010Z,5a27505da656f248326b0f71
100.0,0.0,SBUX,2017-12-06T02:05:28.010Z,5a27505da656f248326b0f71
100.0,0.0,SBUX,2017-12-06T02:05:28.010Z,5a27505da656f248326b0f71
100.0,-39.1,SBUX,2017-12-06T02:05:27.003Z,5a27505da656f248326b0f63
30.0,37.8,WING,2017-12-06T02:04:06.850Z,5a275002a656f23a566b0f7c
30.0,37.8,WING,2017-12-06T02:04:06.850Z,5a275002a656f23a566b0f7c
60.0,37.8,SBUX,2017-12-06T02:04:06.850Z,5a275002a656f23a566b0f7c
60.0,37.8,SBUX,2017-12-06T02:04:06.850Z,5a275002a656f23a566b0f7c
60.0,6.3,CAKE,2017-12-06T02:02:59.625Z,5a274fc7a656f230016b0f4b
60.0,6.3,CAKE,2017-12-06T02:02:59.625Z,5a274fc7a656f230016b0f4b
